YEAR,MONTH,DAY,HR,WS,T2M,MSLP,RH2,dates,observations,station
2006,8,24,21,5.8,7.8,1011.9,88.1,2006082421,3.3,LGR
2006,8,25,12,6.6,11.8,1009.2,45.6,2006082512,3.4,SPZ
2006,8,26,12,4.4,9.6,1011.7,68.3,2006082612,3.1,LGR
2006,8,27,3,1,5.1,1013.1,95,2006082703,2.1,SPZ
2006,8,29,6,12,3.1,1008.6,58.8,2006082906,3.1,LGR
2006,8,30,6,15.2,0.7,1009.7,76.1,2006083006,9.3,SPZ
2006,8,30,12,11.1,6.5,1016.4,51.2,2006083012,4.8,LGR
2006,8,31,3,4.6,0.7,1026.2,77.6,2006083103,4.1,SPZ
2006,8,31,12,7.2,10.9,1022.2,28.3,2006083112,5.7,LGR
2006,8,31,18,6.1,8.8,1024.1,59.6,2006083118,2.4,SPZ
2006,9,2,15,2.9,16.4,1017.9,54.6,2006090215,2.1,LGR
2006,9,4,12,6.2,19.6,1026.7,53.9,2006090412,2.6,SPZ
2006,9,5,12,5.3,19.7,1026.3,25.4,2006090512,3.1,LGR
2006,9,6,9,4.1,18.1,1022.2,34.3,2006090609,2.1,SPZ
2006,9,6,18,3.5,14.1,1022.8,86.7,2006090618,1,LGR
2006,9,7,9,2.9,14.9,1020.7,71.6,2006090709,1,SPZ
2006,9,7,15,4.2,14.5,1017.8,84.2,2006090715,2.6,LGR
2006,9,8,21,3,9.5,1025.9,40.7,2006090821,5.1,SPZ
2006,9,11,18,2.2,10.1,1026,78.5,2006091118,2.1,LGR
2006,9,12,15,5.7,14.8,1022.2,33.3,2006091215,4.1,SPZ
2006,9,14,12,7.2,13.3,1015.5,66.2,2006091412,3.4,LGR
2006,9,15,3,8,7.8,1009.7,92.5,2006091503,3.4,SPZ
2006,9,15,12,8.1,10.8,1008.8,96.1,2006091512,2.1,LGR
2006,9,15,18,9.6,10.5,1008.1,74.5,2006091518,2.6,SPZ
2006,9,16,18,7.7,9.3,1008.7,88.2,2006091618,5.7,LGR
2006,9,17,15,4.6,11.5,1009.1,73.4,2006091715,2.6,SPZ
2006,9,18,21,7.2,7.3,1015.2,85.5,2006091821,1.8,LGR
2006,9,19,12,7.9,11.3,1016.4,66,2006091912,3.3,SPZ
2006,9,20,12,4.2,11.1,1020.6,59.4,2006092012,1,LGR
2006,9,22,15,2.1,17.8,1015.7,41.5,2006092215,3.6,SPZ
2006,9,23,15,3.3,9.5,1019.2,93.2,2006092315,2.1,LGR
2006,9,23,21,5.3,8.8,1018.6,87.8,2006092321,2.9,SPZ
2006,9,24,12,6.4,13.4,1015.5,61.4,2006092412,2.6,LGR
2006,9,25,3,5,8.5,1012.4,91.7,2006092503,2.1,SPZ
2006,9,26,9,9.8,9.2,1013.5,79.8,2006092609,4.6,LGR
2006,9,27,0,5.1,6.7,1015.7,81.9,2006092700,4.1,SPZ
2006,9,27,9,1.4,8.5,1015.6,63.3,2006092709,1,LGR
2006,9,27,15,6.3,12.7,1013.4,54.8,2006092715,3.4,SPZ
2006,9,28,15,3.9,9.8,1014.1,83.2,2006092815,3.1,LGR
2006,9,30,18,3.3,8.9,1017.2,85.8,2006093018,2.3,SPZ
2006,10,2,0,3.4,9.4,1015.7,73.2,2006100200,2.1,LGR
2006,10,2,15,7.1,14.5,1014.5,59.9,2006100215,2.8,SPZ
2006,10,3,0,8.4,8.3,1009.8,97.2,2006100300,2.1,LGR
2006,10,3,6,5.4,9.2,1011.2,71.1,2006100306,2.6,SPZ
2006,10,3,15,10.8,9.5,1010.2,95.7,2006100315,5.1,LGR
2006,10,3,21,7.7,9.2,1003.5,81.7,2006100321,2.1,SPZ
2006,10,4,6,4,6.5,1007.3,88.8,2006100406,4.1,LGR
2006,10,4,12,9.6,8,1008.7,56.7,2006100412,4.5,SPZ
2006,10,5,3,5.6,0.4,1018.7,82.9,2006100503,2.1,LGR
2006,10,7,15,8.8,7.8,1017,67.9,2006100715,4.1,SPZ
2006,10,8,6,2.3,5.4,1022.1,40.6,2006100806,2.1,LGR
2006,10,14,12,4.6,6.4,1025.8,87.3,2006101412,3.3,SPZ
2006,10,15,3,5.5,3,1025.1,97.9,2006101503,4.1,LGR
2006,10,17,15,5.3,9.2,1018.4,58.1,2006101715,3.1,SPZ
2006,10,18,21,4.8,5.9,1013.5,67.1,2006101821,2.7,LGR
2006,10,19,12,6.7,9.1,1008.6,66.8,2006101912,3.8,SPZ
2006,10,19,21,3.3,2.8,1011.1,90.4,2006101921,1,LGR
2006,10,20,3,4.6,3.4,1007.3,90.6,2006102003,2.6,SPZ
2006,10,20,18,4.5,4.3,1007.1,85.9,2006102018,3.3,LGR
